scenario,model,acf_mse,acf_mae,acf_corr,acf_lag0_error,acf_pred_total_variation,acf_true_total_variation,ccf_mse,ccf_mae,ccf_corr,ccf_lag0_error,ccf_pred_total_variation,ccf_true_total_variation,fcf_mse,fcf_mae,fcf_corr,fcf_lag0_error,fcf_pred_total_variation,fcf_true_total_variation,overall_mse,overall_mae,overall_relative_error,overall_corr,lag0_error,out_of_range_fraction,pred_total_variation,true_total_variation,mse,mae,relative_error,curve_correlation
velocity_ood,mlp,0.002624578308314085,0.035124052315950394,0.789803240314126,0.002431784523651004,0.878934383392334,3.239590644836426,0.0007180290995165706,0.01897040195763111,0.9277439461350441,0.0024316711351275444,2.6385581493377686,4.006495952606201,0.0010406544897705317,0.02138407714664936,0.9915708520114422,0.0024371910840272903,0.41186654567718506,0.4501264691352844,0.0014610870275646448,0.025159509852528572,0.057750192059238016,0.9592771097719669,0.002433548914268613,0.0,1.309786319732666,2.5654044151306152,0.0014610870275646448,0.025159509852528572,0.057750192059238016,0.9592771097719669
velocity_ood,resmlp,0.0020887793507426977,0.030488135293126106,0.8481010590195656,0.0017545956652611494,1.0000910758972168,3.239590644836426,0.0006879818974994123,0.018123812973499298,0.9458964557051659,0.0017434675246477127,2.766031503677368,4.006495952606201,0.0009041049634106457,0.019733447581529617,0.9930156603157521,0.0017648183275014162,0.4122426211833954,0.4501264691352844,0.0012269549770280719,0.022781796753406525,0.052921183277425614,0.9720502860248089,0.001754293916746974,0.0,1.3927884101867676,2.5654044151306152,0.0012269549770280719,0.022781796753406525,0.052921183277425614,0.9720502860248089
velocity_ood,ridge,0.026889827102422714,0.13472601771354675,0.5873734510546201,0.0,1.0247986316680908,3.239590644836426,0.0016455795848742127,0.03195369243621826,0.8154599348120392,0.0,2.5004398822784424,4.006495952606201,0.01008482277393341,0.07811199873685837,0.8887370046637952,0.0,0.45681896805763245,0.4501264691352844,0.012873410247266293,0.0815972313284874,0.17142028239950807,0.7512359387007455,0.0,0.09587369791666667,1.3273524045944214,2.5654044151306152,0.012873410247266293,0.0815972313284874,0.17142028239950807,0.7512359387007455
velocity_ood,random_forest,0.00498468093445442,0.040571386245280124,0.7675230386597905,0.0,1.788159650622164,3.239590644836426,0.0008603190102400665,0.01902293873037959,0.9177357102541014,0.0,2.662970643601466,4.006495952606201,0.0007634404909497391,0.017717927652173265,0.9940973127137029,0.0,0.4272984582117806,0.4501264691352844,0.002202813478548075,0.02577075087594433,0.07090951379964086,0.9570660326436341,0.0,0.0,1.6261429174784698,2.5654044151306152,0.002202813478548075,0.02577075087594433,0.07090951379964086,0.9570660326436341
velocity_ood,knn,0.005210850853472948,0.04864353686571121,0.8049092415571213,0.0,1.6664483547210693,3.239590644836426,0.001987823750823736,0.03267112001776695,0.9294871753305197,0.0,2.863290548324585,4.006495952606201,0.003606280777603388,0.0408288910984993,0.9896922981739045,0.0,0.4281821548938751,0.4501264691352844,0.0036016518715769053,0.04071452096104622,0.09067052880936592,0.9576877063214779,0.0,0.0,1.6526403427124023,2.5654044151306152,0.0036016518715769053,0.04071452096104622,0.09067052880936592,0.9576877063214779
k_factor_ood,mlp,8.197664283216e-05,0.008181720972061157,0.7172863426357508,0.0014422633685171604,0.08147639781236649,0.07569292932748795,6.317166844382882e-05,0.007215174380689859,0.8529013682603837,0.001443476416170597,0.274446964263916,0.18883803486824036,4.489850107347593e-05,0.005841675214469433,0.9791150515787304,0.0014425568515434861,0.021092494949698448,0.014880695380270481,6.334893987514079e-05,0.007079524453729391,0.008061139951468049,0.8972057653367519,0.0014427655842155218,0.0,0.12567195296287537,0.0931372195482254,6.334893987514079e-05,0.007079524453729391,0.008061139951468049,0.8972057653367519
k_factor_ood,resmlp,2.5343408196931705e-05,0.004250900354236364,0.7635583522766829,0.0002802986418828368,0.07816796749830246,0.07569292932748795,1.0814036613737699e-05,0.0028444884810596704,0.8701211098134518,0.00027658630278892815,0.21574154496192932,0.18883803486824036,1.0807171747728717e-05,0.0026149647310376167,0.9826592975705862,0.0002850547316484153,0.01900286041200161,0.014880695380270481,1.565487400512211e-05,0.003236783668398857,0.004007296403354207,0.9050828421413899,0.0002806465490721166,0.0,0.10430412739515305,0.0931372195482254,1.565487400512211e-05,0.003236783668398857,0.004007296403354207,0.9050828421413899
k_factor_ood,ridge,0.02347794733941555,0.13470284640789032,-0.22448413928011723,0.0,0.37289923429489136,0.07569292932748795,0.02244619093835354,0.1484334021806717,-0.3569974272698164,0.0,1.4560672044754028,0.18883803486824036,0.02241075411438942,0.11935273557901382,-0.5286731881593878,0.0,0.18902942538261414,0.014880695380270481,0.02277829684317112,0.1341629922389984,0.1528577086749276,-0.11211976183568186,0.0,0.8631145833333334,0.6726652979850769,0.0931372195482254,0.02277829684317112,0.1341629922389984,0.1528577086749276,-0.11211976183568186
k_factor_ood,random_forest,0.00021142113049291695,0.013990812037057862,0.770429032897936,0.0,0.06289251652390267,0.07569292932748795,0.0002865118678541562,0.01677273218145148,0.8490759627032338,0.0,0.25883982195681837,0.18883803486824036,0.00013584832566215495,0.010188216731877451,0.9837768087273524,0.0,0.028337498299539084,0.014880695380270481,0.00021126044133640935,0.013650586983462257,0.014720951100364433,0.9193033973830395,0.0,0.0,0.11668994559342002,0.0931372195482254,0.00021126044133640935,0.013650586983462257,0.014720951100364433,0.9193033973830395
k_factor_ood,knn,0.0005524606676772237,0.022160518914461136,0.7777350119873881,0.0,0.09723205864429474,0.07569292932748795,0.0007146334974095225,0.026011859998106956,0.9223448914885521,0.0,0.4393314719200134,0.18883803486824036,0.0003617987094912678,0.01633717678487301,0.983271499056369,0.0,0.036995530128479004,0.014880695380270481,0.0005429642042145133,0.021503183990716934,0.023600015747447713,0.915976204097271,0.0,0.0,0.1911863535642624,0.0931372195482254,0.0005429642042145133,0.021503183990716934,0.023600015747447713,0.915976204097271
path_num_ood,mlp,0.004461267031729221,0.042672473937273026,0.8660801805704832,0.004801957868039608,0.6918182373046875,2.551640033721924,0.00037009603693149984,0.013675035908818245,0.9561889732480049,0.004801622126251459,2.4904580116271973,3.595221996307373,0.0005292851128615439,0.01593446172773838,0.9950097764730453,0.004811914637684822,0.427978515625,0.4458562135696411,0.0017868828726932406,0.0240939948707819,0.06297686483336151,0.9656369994580746,0.004805164877325296,0.0,1.2034181356430054,2.197572708129883,0.0017868828726932406,0.0240939948707819,0.06297686483336151,0.9656369994580746
path_num_ood,resmlp,0.0031864203047007322,0.03579678758978844,0.902437186807394,0.0030459298286587,0.9089974761009216,2.551640033721924,0.000332375755533576,0.012944462709128857,0.9702933685183525,0.003031414467841387,2.539868116378784,3.595221996307373,0.00048040077672339976,0.014656184241175652,0.9958258015811443,0.00305999000556767,0.4369067847728729,0.4458562135696411,0.0013330656802281737,0.02113248035311699,0.054394980682978815,0.9762749055624008,0.0030457782559096813,0.0,1.2952574491500854,2.197572708129883,0.0013330656802281737,0.02113248035311699,0.054394980682978815,0.9762749055624008
path_num_ood,ridge,0.017621856182813644,0.08893653750419617,0.7368746543440647,0.0,0.6603745818138123,2.551640033721924,0.0013627073494717479,0.02893325872719288,0.8406273093614727,0.0,2.7101998329162598,3.595221996307373,0.010202615521848202,0.07861369848251343,0.8860583032497671,0.0,0.4693973660469055,0.4458562135696411,0.009729061275720596,0.06549450010061264,0.14694972522872743,0.8287783548443113,0.0,0.07622395833333333,1.279990553855896,2.197572708129883,0.009729061275720596,0.06549450010061264,0.14694972522872743,0.8287783548443113
path_num_ood,random_forest,0.0025260348148985296,0.03275834562127182,0.8770443732066219,0.0,1.3596427963832167,2.551640033721924,0.0006895437486417382,0.016787219026183905,0.9310704821240233,0.0,2.6019860843110574,3.595221996307373,0.0007241203703837893,0.017181311153330846,0.9952914348293472,0.0,0.4359874210798904,0.4458562135696411,0.0013132329779746866,0.022242291933595525,0.05398889449374415,0.9656049114802265,0.0,0.0,1.4658721005913882,2.197572708129883,0.0013132329779746866,0.022242291933595525,0.05398889449374415,0.9656049114802265
path_num_ood,knn,0.01158098317682743,0.06513690948486328,0.8399952158480882,0.0,1.1685134172439575,2.551640033721924,0.0012582647614181042,0.02429376356303692,0.9692460670769215,0.0,2.9153964519500732,3.595221996307373,0.0023500851821154356,0.03132263571023941,0.9939101722240448,0.0,0.43577635288238525,0.4458562135696411,0.005063110496848822,0.04025110602378845,0.10600879781814351,0.9490789376199246,0.0,0.0,1.5065619945526123,2.197572708129883,0.005063110496848822,0.04025110602378845,0.10600879781814351,0.9490789376199246
delay_spread_ood,mlp,0.00446573831140995,0.0447089783847332,0.8573138429969549,0.0062049259431660175,0.6816979050636292,2.4309403896331787,0.0007739836582913995,0.020494533702731133,0.9310382579267025,0.006202996708452702,2.4217467308044434,3.9533920288085938,0.0021080109290778637,0.032802097499370575,0.9718215400874615,0.0062204874120652676,0.5529804825782776,0.7188052535057068,0.0024492444936186075,0.03266854211688042,0.07730596171974942,0.9238883576095104,0.006209470331668854,0.0,1.2188084125518799,2.3677124977111816,0.0024492444936186075,0.03266854211688042,0.07730596171974942,0.9238883576095104
delay_spread_ood,resmlp,0.003882282180711627,0.04006810486316681,0.8810944319963455,0.003927260171622038,0.878237247467041,2.4309403896331787,0.0006729350425302982,0.01812455616891384,0.9406713611781597,0.003910642582923174,2.5268476009368896,3.9533920288085938,0.0019176502246409655,0.02910756692290306,0.971440899014473,0.003942033741623163,0.5553836822509766,0.7188052535057068,0.0021576224826276302,0.029100067913532257,0.07255786750951164,0.9410887533426284,0.003926645498722792,0.0,1.320156216621399,2.3677124977111816,0.0021576224826276302,0.029100067913532257,0.07255786750951164,0.9410887533426284
delay_spread_ood,ridge,0.018827315419912338,0.09097311645746231,0.7195375092087779,0.0,0.6548004150390625,2.4309403896331787,0.0015970312524586916,0.03140173852443695,0.8017396139046177,0.0,2.327028274536133,3.9533920288085938,0.058004073798656464,0.19710704684257507,0.9546937800049782,0.0,0.8027193546295166,0.7188052535057068,0.02614280954003334,0.10649396479129791,0.25256490552766525,0.6180897248242981,0.0,0.07700651041666666,1.2615159749984741,2.3677124977111816,0.02614280954003334,0.10649396479129791,0.25256490552766525,0.6180897248242981
delay_spread_ood,random_forest,0.001977619223904553,0.03013980152687851,0.8756224578591616,0.0,1.4428076125112779,2.4309403896331787,0.0009413021093485931,0.019547831580791823,0.9123152608662817,0.0,2.6487259212103478,3.9533920288085938,0.010482263481837062,0.07174044478205256,0.9480641208109808,0.0,0.5186843537223457,0.7188052535057068,0.004467061605030067,0.04047602596324095,0.10440184326818418,0.9043515314197573,0.0,0.0,1.5367392958146575,2.3677124977111816,0.004467061605030067,0.04047602596324095,0.10440184326818418,0.9043515314197573
delay_spread_ood,knn,0.013692624866962433,0.0712517574429512,0.8224979708315805,0.0,1.1263132095336914,2.4309403896331787,0.0020310929976403713,0.033093757927417755,0.9218883581161499,0.0,2.641031503677368,3.9533920288085938,0.00880051776766777,0.06798341125249863,0.9608521648645401,0.0,0.5259091854095459,0.7188052535057068,0.008174745365977287,0.05744296684861183,0.1412322850009841,0.8886818996220827,0.0,0.0,1.4310846328735352,2.3677124977111816,0.008174745365977287,0.05744296684861183,0.1412322850009841,0.8886818996220827
bandwidth_ood,mlp,0.0047392831183969975,0.04519210383296013,0.8474360081851482,0.005780579522252083,0.6775838136672974,2.439058303833008,0.0007321567391045392,0.01952166110277176,0.9311163725554943,0.005778389982879162,2.411832332611084,3.9378559589385986,0.00367011409252882,0.04145263507962227,0.963606002420187,0.005796191282570362,0.5692067742347717,0.7804887890815735,0.0030471852514892817,0.03538881614804268,0.08723291665812317,0.9109994551837445,0.005785053130239248,0.0,1.219541072845459,2.385801076889038,0.0030471852514892817,0.03538881614804268,0.08723291665812317,0.9109994551837445
bandwidth_ood,resmlp,0.004012371879070997,0.04130348935723305,0.8720359364449978,0.0031797958072274923,0.902660071849823,2.439058303833008,0.0007326352642849088,0.01892523467540741,0.9407717091143131,0.0031666054856032133,2.493558645248413,3.9378559589385986,0.0025400682352483273,0.03152235969901085,0.9632776319682598,0.0031915849540382624,0.5609391927719116,0.7804887890815735,0.002428358653560281,0.030583694577217102,0.07787305820464803,0.932617880821228,0.0031793289817869663,0.0,1.3190525770187378,2.385801076889038,0.002428358653560281,0.030583694577217102,0.07787305820464803,0.932617880821228
bandwidth_ood,ridge,0.019127432256937027,0.09167955070734024,0.7292479575974867,0.0,0.6759786605834961,2.439058303833008,0.0015733159380033612,0.031077636405825615,0.8114010511995293,0.0,2.399132490158081,3.9378559589385986,0.06553561985492706,0.2087472528219223,0.9238610862120986,0.0,0.8396953344345093,0.7804887890815735,0.02874545380473137,0.11050150543451309,0.26792637471440484,0.6050263680419885,0.0,0.08165625,1.3049355745315552,2.385801076889038,0.02874545380473137,0.11050150543451309,0.26792637471440484,0.6050263680419885
bandwidth_ood,random_forest,0.0024292569664336712,0.03294842947199367,0.8698886026914002,0.0,1.3516049991599355,2.439058303833008,0.0009319027864510966,0.01964953124352666,0.9106327700457086,0.0,2.5650344663760447,3.9378559589385986,0.013496369534853826,0.08116834774611466,0.93451066186142,0.0,0.5233551016731189,0.7804887890815735,0.005619176429246197,0.04458876948721167,0.11845887187544037,0.8858699469694152,0.0,0.0,1.4799981890696996,2.385801076889038,0.005619176429246197,0.04458876948721167,0.11845887187544037,0.8858699469694152
bandwidth_ood,knn,0.011847462505102158,0.0651303380727768,0.8343356709331274,0.0,1.1401046514511108,2.439058303833008,0.0013379890006035566,0.02645687386393547,0.9429110061228275,0.0,2.864851474761963,3.9378559589385986,0.012881999835371971,0.08028201013803482,0.945390130162239,0.0,0.5271981954574585,0.7804887890815735,0.008689151145517826,0.05728974938392639,0.14730570173744117,0.88080491938442,0.0,0.0,1.5107181072235107,2.385801076889038,0.008689151145517826,0.05728974938392639,0.14730570173744117,0.88080491938442
